Command: python Edge.py --dataset-dir TuSimpleDatasetarchive/TUSimple/train_set/clips --episodes 200 --frame-sampling random --no-show
Run ID:  20260902_110013
Started: 2026-09-02T11:00:13.379373
Log file: logs\run_20260902_110013.log
=============================================================
DNN-Scissor Farsighted A2C Local Dataset Execution Loop
(seed=42, w_acc=0.7, w_delay=0.15, w_energy=0.15, frame_sampling=random)
=============================================================
Successfully loaded real dataset. Found 72520 frames.
Simulation will process batches of 30 frames per episode.
Episode 01/200 | Reward:    6.07 | Drops:  4 | E2E Latency: 1.466s | Energy: 94.16J | Acc: 83.9% | Model choice L/M/H: 26.7%/40.0%/33.3%
Episode 05/200 | Reward:   11.73 | Drops:  0 | E2E Latency: 1.339s | Energy: 86.99J | Acc: 82.7% | Model choice L/M/H: 40.0%/33.3%/26.7%
Episode 10/200 | Reward:    8.51 | Drops:  2 | E2E Latency: 1.624s | Energy: 101.78J | Acc: 83.7% | Model choice L/M/H: 23.3%/60.0%/16.7%
Episode 15/200 | Reward:    6.10 | Drops:  4 | E2E Latency: 1.603s | Energy: 99.69J | Acc: 86.9% | Model choice L/M/H:  6.7%/63.3%/30.0%
Episode 20/200 | Reward:   12.98 | Drops:  0 | E2E Latency: 1.227s | Energy: 77.28J | Acc: 85.9% | Model choice L/M/H: 10.0%/70.0%/20.0%
Episode 25/200 | Reward:   13.64 | Drops:  0 | E2E Latency: 1.099s | Energy: 69.00J | Acc: 86.8% | Model choice L/M/H:  3.3%/76.7%/20.0%
Episode 30/200 | Reward:   15.36 | Drops:  0 | E2E Latency: 0.512s | Energy: 32.68J | Acc: 84.1% | Model choice L/M/H: 10.0%/86.7%/ 3.3%
Episode 35/200 | Reward:   15.55 | Drops:  0 | E2E Latency: 0.526s | Energy: 31.06J | Acc: 85.0% | Model choice L/M/H:  0.0%/100.0%/ 0.0%
Episode 40/200 | Reward:   15.81 | Drops:  0 | E2E Latency: 0.467s | Energy: 27.77J | Acc: 85.0% | Model choice L/M/H:  0.0%/100.0%/ 0.0%
Episode 45/200 | Reward:   15.66 | Drops:  0 | E2E Latency: 0.523s | Energy: 31.99J | Acc: 85.3% | Model choice L/M/H:  0.0%/96.7%/ 3.3%
Episode 50/200 | Reward:   15.01 | Drops:  0 | E2E Latency: 0.657s | Energy: 38.20J | Acc: 85.0% | Model choice L/M/H:  0.0%/100.0%/ 0.0%
